# The 144 specified mutation obligations of P01–P22, enumerated.
#
# ===========================================================================
# WHY THIS FILE EXISTS BESIDE register.tsv
# ===========================================================================
# build/proof/register.tsv enumerates the twenty-two PROOF TESTS and counts
# their mutants. It does not name them. So "P17 has 0 of 19" is auditable as
# arithmetic and not as evidence: nothing in the repository said which nineteen,
# what each one changes, or what is supposed to catch it.
#
# This file is that enumeration, one row per specified mutation, and it is the
# single source of truth for the mutation set. docs/testing-strategy.md §4
# carries the tables for P01–P15; §4.3 states that P16–P22 "are specified in
# full by their owning ADRs and are cited here, not restated", so their sixty-
# five mutants live in ADR-0016, -0017, -0019, -0020, -0021, -0022 and -0023.
# A catalogue built from testing-strategy.md alone is sixty-four rows short and
# looks complete, which is exactly the failure this file exists to prevent.
#
# MUTATION and EXPECTED_ORACLE are transcribed VERBATIM from those tables' two
# columns (rule PT-4: a consumed conformance surface is not re-derived). Only
# markdown markup is stripped.
#
# ===========================================================================
# 144 SPECIFIED, 143 DISTINCT PATCHES
# ===========================================================================
# §4.3: "M-P20-3 (remove-then-add instead of atomic swap) is THE SAME MUTANT as
# M-P09-3, declared as shared so it is not counted twice as independent
# evidence." Both ids are rows here, because dropping one breaks the count §4
# calls load-bearing; M-P20-3 carries STATUS `SHARED-WITH:M-P09-3` so that one
# patch can never be counted as two pieces of evidence.
#
# The per-proof counts reconcile with register.tsv's MUT_SPEC column exactly:
#   P01 4  P02 5  P03 5  P04 5  P05 5  P06 9  P07 5  P08 4  P09 3  P10 7
#   P11 5  P12 5  P13 5  P14 4  P15 8  P16 6  P17 19 P18 10 P19 6  P20 7
#   P21 6  P22 11                                                = 144
# build/proof/mutation-gate.sh asserts that reconciliation on every run.
#
# ===========================================================================
# THE STATUS VOCABULARY — AND WHY THERE IS NO WORD THAT COULD BE MISREAD
# ===========================================================================
# A specification entry with no executable implementation is UNDISCHARGED. It is
# not a pass, it is not a skip, and it must never be counted alongside a killed
# mutant. STATUS here is the IMPLEMENTATION state; the EXECUTION verdict
# (killed / survived / timeout / unviable / not-executed) is decided by
# build/proof/run-mutants.sh at run time and reported by mutation-gate.sh, which
# also fails if the two disagree.
#
#   IMPLEMENTED           a patch for this id exists in build/mutants/. OWNER
#                         names the workspace and the cargo command that must
#                         fail against it. Whether it is actually KILLED is the
#                         run's verdict, never this file's claim.
#   SHARED-WITH:<id>      §4.3 declares this obligation to be the same mutant as
#                         <id>. One patch, one piece of evidence, two rows.
#   MISSING-UNIMPLEMENTED no patch exists, and the OWNING PROOF TEST has at
#                         least one evidence command that runs on a plain Linux
#                         runner. That is a triage hint about the proof, NOT a
#                         claim that this particular mutant is catchable by it:
#                         the NEEDS column is the authority on what is absent,
#                         and for most of these rows it names infrastructure the
#                         runner does not have. UNDISCHARGED either way.
#   MISSING-NO-ORACLE     no patch exists and the owning proof test has no
#                         runnable evidence command at all, or this row's NEEDS
#                         names the specific missing assertion that was checked
#                         against the code and found unable to see the defect.
#                         UNDISCHARGED.
#
# Both MISSING states count identically in every total mutation-gate.sh prints.
# The split exists so the next person knows where to start, not so one of them
# can be read as nearly-done.
#
# NEEDS is per-row where this catalogue's author verified the reason against the
# code and the candidate oracle; otherwise it is the owning register row's NEEDS
# column, which is that proof test's own statement of what is absent.
#
# Columns, tab-separated:
#   ID  PROOF  COMPONENT  REQUIREMENT  MUTATION  EXPECTED_ORACLE  OWNER  STATUS  NEEDS
#
M-P01-1	P01	core/twinvpn-path — candidate gathering and the NAT-traversal ladder	ADR-0004 §11.6 — a direct path is established where the NAT class allows one, with both families and the relay gathered in parallel from t=0	Relay candidate gathered only after direct-path timeout	Time-to-first-byte exceeds T_RELAY_FIRST_TRAFFIC on relay pairs; ledger shows serial gathering	core::cargo test -q -p twinvpn-path --test ladder gathering_starts_both_families_and_the_relay_at_the_same_instant	IMPLEMENTED	-
M-P01-2	P01	core/twinvpn-path — candidate gathering and the NAT-traversal ladder	ADR-0004 §11.6 — a direct path is established where the NAT class allows one, with both families and the relay gathered in parallel from t=0	Candidate racing serialized (one pair at a time)	DIRECT_POSSIBLE budgets in §3.6 breached; T_CONNECT expiries appear	core::cargo test -q -p twinvpn-path --test ladder every_pair_is_scheduled_at_once_staggered_only_by_the_250ms_family_bias	IMPLEMENTED	-
M-P01-3	P01	core/twinvpn-path — candidate gathering and the NAT-traversal ladder	ADR-0004 §11.6 — a direct path is established where the NAT class allows one, with both families and the relay gathered in parallel from t=0	IPv6 candidates deprioritized below IPv4	Dual-stack scenarios select v4; the T_HE_BIAS assertion fails	core::cargo test -q -p twinvpn-path --test ladder native_ipv6_outranks_everything_and_the_relay_is_the_floor	IMPLEMENTED	-
M-P01-4	P01	core/twinvpn-path — candidate gathering and the NAT-traversal ladder	ADR-0004 §11.6 — a direct path is established where the NAT class allows one, with both families and the relay gathered in parallel from t=0	NAT keepalive fixed at 300 s	The 120 s re-drive fails on the 30 s-lifetime personality with a NAT.* code	-	MISSING-NO-ORACLE	no assertion of any kind: no NAT keepalive interval is modelled in twinvpn-path, and the 120 s re-drive against a 30 s-lifetime mapping needs a middlebox namespace with per-personality mapping-lifetime timers.
M-P02-1	P02	core/twinvpn-relay-client — relay discovery and selection	ADR-0006 §11.16 — a symmetric-NAT pair reaches RELAYED with no user action and no control-plane call	Relay fallback gated behind a user prompt	"No user action" assertion fails	-	MISSING-UNIMPLEMENTED	symmetric-NAT-both-ends namespaces; real relay processes with warm sessions; a control-plane blackhole applied to a live agent. The `RelaySelected{top_k[]}` event does not exist in the codebase, so a third of ADR-0006's own oracle is unassertable and M-P02-5 cannot be written.
M-P02-2	P02	core/twinvpn-relay-client — relay discovery and selection	ADR-0006 §11.16 — a symmetric-NAT pair reaches RELAYED with no user action and no control-plane call	Relay set reduced to one entry at the edge	Precondition assertion fails; §11.1 rule 3 violated	-	MISSING-UNIMPLEMENTED	symmetric-NAT-both-ends namespaces; real relay processes with warm sessions; a control-plane blackhole applied to a live agent. The `RelaySelected{top_k[]}` event does not exist in the codebase, so a third of ADR-0006's own oracle is unassertable and M-P02-5 cannot be written.
M-P02-3	P02	core/twinvpn-relay-client — relay discovery and selection	ADR-0006 §11.16 — a symmetric-NAT pair reaches RELAYED with no user action and no control-plane call	Relay selection requires a live control-plane call	Blackholed variant never reaches RELAYED; I5 violated	-	MISSING-UNIMPLEMENTED	symmetric-NAT-both-ends namespaces; real relay processes with warm sessions; a control-plane blackhole applied to a live agent. The `RelaySelected{top_k[]}` event does not exist in the codebase, so a third of ADR-0006's own oracle is unassertable and M-P02-5 cannot be written.
M-P02-4	P02	core/twinvpn-relay-client — relay discovery and selection	ADR-0006 §11.16 — a symmetric-NAT pair reaches RELAYED with no user action and no control-plane call	Transport ladder stops after UDP:443	S-NET-UDPBLOCKED-* fails to connect; R-18 unmet	-	MISSING-UNIMPLEMENTED	symmetric-NAT-both-ends namespaces; real relay processes with warm sessions; a control-plane blackhole applied to a live agent. The `RelaySelected{top_k[]}` event does not exist in the codebase, so a third of ADR-0006's own oracle is unassertable and M-P02-5 cannot be written.
M-P02-5	P02	core/twinvpn-relay-client — relay discovery and selection	ADR-0006 §11.16 — a symmetric-NAT pair reaches RELAYED with no user action and no control-plane call	RelaySelected omitted or lacking top_k[]	Auditability oracle fails (R-23)	-	MISSING-UNIMPLEMENTED	symmetric-NAT-both-ends namespaces; real relay processes with warm sessions; a control-plane blackhole applied to a live agent. The `RelaySelected{top_k[]}` event does not exist in the codebase, so a third of ADR-0006's own oracle is unassertable and M-P02-5 cannot be written.
M-P03-1	P03	core/twinvpn-relay-client + services/relay — relay failover	ADR-0006 §11.16 — relay failover preserves session_id and keys across four failure modes	Failover implemented as teardown + reconnect	DISCONNECTED/RECONNECTING appears; session_id changes	-	MISSING-UNIMPLEMENTED	four distinct relay-process failure modes against real relay processes; in-flight inner-TCP survival across the cutover; dual packet captures; seeded region-spread. RELAY.FAILOVER.COMPLETED is registered and asserted by nothing. M-P03-4 (grey stall) and M-P03-5 have no catching test.
